GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
yoga-app,com.openclassrooms.starterjwt.security.services,UserDetailsServiceImpl,33,6,0,0,10,3,2,1,2,1
yoga-app,com.openclassrooms.starterjwt.security.services,UserDetailsImpl,0,35,0,6,0,11,0,9,0,6
yoga-app,com.openclassrooms.starterjwt.payload.response,JwtResponse,0,24,0,0,0,9,0,1,0,1
yoga-app,com.openclassrooms.starterjwt.services,SessionService,0,190,1,19,0,41,1,20,0,11
yoga-app,com.openclassrooms.starterjwt.services,UserService,4,78,1,7,1,21,1,8,0,5
yoga-app,com.openclassrooms.starterjwt.services,TeacherService,0,26,0,2,0,8,0,4,0,3
yoga-app,com.openclassrooms.starterjwt.security,WebSecurityConfig,0,88,0,0,0,23,0,10,0,10
yoga-app,com.openclassrooms.starterjwt.security.jwt,AuthTokenFilter,0,76,0,8,0,21,0,8,0,4
yoga-app,com.openclassrooms.starterjwt.security.jwt,AuthEntryPointJwt,0,7,0,0,0,2,0,2,0,2
yoga-app,com.openclassrooms.starterjwt.security.jwt,JwtUtils,7,90,0,0,2,21,0,5,0,5
yoga-app,com.openclassrooms.starterjwt.exception,NotAuthorizedException,0,3,0,0,0,1,0,1,0,1
yoga-app,com.openclassrooms.starterjwt.exception,NotFoundException,0,3,0,0,0,1,0,1,0,1
yoga-app,com.openclassrooms.starterjwt.exception,GlobalExceptionHandler,10,41,1,11,2,11,1,7,0,2
yoga-app,com.openclassrooms.starterjwt.exception,BadRequestException,0,7,0,0,0,4,0,2,0,2
yoga-app,com.openclassrooms.starterjwt.controllers,UserController,0,32,0,0,0,8,0,3,0,3
yoga-app,com.openclassrooms.starterjwt.controllers,TeacherController,0,34,0,0,0,8,0,3,0,3
yoga-app,com.openclassrooms.starterjwt.controllers,SessionController,0,109,0,0,0,21,0,9,0,9
yoga-app,com.openclassrooms.starterjwt.controllers,AuthController,0,87,0,0,0,25,0,3,0,3
yoga-app,com.openclassrooms.starterjwt.mapper,SessionMapperImpl,5,201,3,15,1,40,3,14,0,8
yoga-app,com.openclassrooms.starterjwt.mapper,TeacherMapperImpl,0,125,0,12,0,31,0,11,0,5
yoga-app,com.openclassrooms.starterjwt.mapper,SessionMapper,0,3,0,0,0,1,0,1,0,1
yoga-app,com.openclassrooms.starterjwt.mapper,UserMapperImpl,0,152,0,12,0,37,0,11,0,5
yoga-app,com.openclassrooms.starterjwt.configuration,AppConfig,0,15,0,0,0,4,0,2,0,2
yoga-app,com.openclassrooms.starterjwt,SpringBootSecurityJwtApplication,0,8,0,0,0,3,0,2,0,2
